"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","39","0","0","0","0"
"2","66","0","0","3","0"
"3","95","0","0","10","0"
"4","156","2","2","23","0"
"5","246","14","14","40","0"
"6","410","20","20","74","0"
"7","586","35","35","113","0"
"8","859","43","44","179","0"
"9","1322","50","55","258","0"
"10","2082","59","69","349","0"
"11","2945","70","85","454","0"
"12","3794","85","106","567","0"
"13","4373","98","127","691","0"
"14","4794","104","137","823","0"
"15","5097","108","149","964","0"
"16","5346","113","160","1109","0"
"17","5566","117","173","1260","0"
"18","5691","120","177","1413","0"
"19","5815","125","190","1566","0"
"20","5907","127","195","1729","0"
"21","6024","129","199","1892","0"
"22","6155","133","206","2055","0"
"23","6229","137","212","2221","0"
"24","6276","139","216","2387","0"
"25","6320","141","222","2553","0"
"26","6362","142","229","2719","0"
"27","6375","142","230","2885","0"
"28","6385","144","235","3051","0"
"29","6393","146","239","3217","0"
"30","6397","146","242","3384","0"
"31","6401","148","247","3551","0"
"32","6410","148","248","3719","0"
"33","6421","149","250","3887","0"
"34","6431","150","252","4055","0"
"35","6438","150","253","4223","0"
"36","6446","150","253","4391","0"
"37","6458","151","258","4559","0"
"38","6464","151","260","4727","0"
"39","6467","151","261","4895","0"
"40","6470","151","263","5063","0"
"41","6473","151","264","5231","0"
"42","6477","153","266","5399","0"
"43","6479","153","266","5567","0"
"44","6481","154","267","5735","0"
"45","6484","155","268","5904","0"
"46","6485","155","268","6073","0"
"47","6486","155","268","6242","0"
"48","6488","155","268","6411","0"
"49","6488","155","268","6580","0"
"50","6490","155","270","6749","0"
"51","6493","155","272","6918","0"
"52","6494","155","272","7088","0"
"53","6495","156","273","7258","0"
"54","6497","157","274","7428","0"
"55","6497","157","274","7598","0"
"56","6498","157","274","7768","0"
"57","6499","157","274","7938","0"
"58","6499","157","274","8108","0"
"59","6500","157","275","8278","0"
"60","6501","157","275","8448","0"
"61","6501","157","275","8618","0"
"62","6501","157","275","8788","0"
"63","6502","157","275","8958","0"
"64","6502","157","275","9128","0"
"65","6503","157","275","9298","0"
"66","6503","157","275","9468","0"
"67","6504","158","276","9638","0"
"68","6505","158","276","9808","0"
"69","6506","158","276","9978","0"
"70","6506","158","276","10148","0"
"71","6507","158","276","10318","0"
"72","6507","158","276","10488","0"
"73","6508","158","276","10658","0"
"74","6509","158","277","10828","0"
"75","6510","158","278","10998","0"
"76","6511","158","278","11168","0"
"77","6511","158","278","11338","0"
"78","6512","158","278","11508","0"
"79","6512","158","278","11678","0"
"80","6512","158","278","11848","0"
"81","6513","158","278","12018","0"
"82","6513","158","278","12188","0"
"83","6513","158","278","12358","0"
"84","6513","158","278","12528","0"
"85","6513","158","278","12698","0"
"86","6514","158","278","12868","0"
"87","6514","158","278","13038","0"
"88","6514","158","278","13208","0"
"89","6515","158","278","13378","0"
"90","6515","158","278","13548","0"
"91","6515","158","278","13718","0"
"92","6515","158","278","13888","0"
"93","6516","158","278","14058","0"
"94","6516","158","278","14228","0"
"95","6516","158","278","14398","0"
"96","6516","158","278","14568","0"
"97","6516","158","278","14738","0"
"98","6517","158","278","14908","0"
"99","6517","158","278","15078","0"
"100","6517","158","278","15248","0"
